Metric,Value
report_mode,diagnostic attribution over frozen candidates only; no rule or threshold changes
frozen_candidates,"PriorSlope_DominantPressureValue_Q3,CCRRR,RRCCC"
prior_slope_reference_negative_regime_instrument_cell_count,6
prior_slope_reference_positive_regime_instrument_cell_count,13
prior_slope_reference_negative_cells,2016-NQ:-0.537469;2016-ES:-1.799516;2023-NQ:-2.490177;2023-ES:-3.823991;2017-ES:-7.542346;2019-ES:-10.575911
prior_slope_reference_negative_block_count,46
prior_slope_reference_block_count,107
prior_slope_worst_reference_dataset,122023
prior_slope_worst_reference_dataset_sum,-21.71192895799292
prior_slope_032024_reference_count,83
prior_slope_032024_reference_mean,0.05580280148715114
prior_slope_032024_reference_sum,4.631632523433544
prior_slope_volume_enabled_reference_count,545
prior_slope_volume_enabled_reference_mean,-0.037581418115060064
prior_slope_volume_enabled_reference_sum,-20.481872872707736
prior_slope_legacy_reference_count,779
prior_slope_legacy_reference_mean,0.2802699023409915
prior_slope_legacy_reference_sum,218.33025392363234
prior_slope_volume_enabled_degrades_mean,True
PriorSlope_DominantPressureValue_Q3_Reference_Pass,False
PriorSlope_DominantPressureValue_Q3_Reference_FailedCriteria,PositiveBlockFraction
PriorSlope_DominantPressureValue_Q3_Spacing_10_Pass,False
PriorSlope_DominantPressureValue_Q3_Spacing_10_FailedCriteria,PositiveBlockFraction
PriorSlope_DominantPressureValue_Q3_Spacing_20_Pass,False
PriorSlope_DominantPressureValue_Q3_Spacing_20_FailedCriteria,PositiveBlockFraction
CCRRR_Reference_Pass,False
CCRRR_Reference_FailedCriteria,PositiveBlockFraction
CCRRR_Spacing_10_Pass,False
CCRRR_Spacing_10_FailedCriteria,PositiveBlockFraction
CCRRR_Spacing_20_Pass,False
CCRRR_Spacing_20_FailedCriteria,Median|PositiveBlockFraction|MaxSingleBlockContribution
RRCCC_Reference_Pass,False
RRCCC_Reference_FailedCriteria,Median|PositiveBlockFraction|MaxSingleBlockContribution
RRCCC_Spacing_10_Pass,False
RRCCC_Spacing_10_FailedCriteria,Median|PositiveBlockFraction|MaxSingleBlockContribution
RRCCC_Spacing_20_Pass,False
RRCCC_Spacing_20_FailedCriteria,Median|PFAboveMethodBase|PositiveBlockFraction|MaxSingleBlockContribution
