Instrument,SessionContext,TotalBars,Bucket,FromState,Transition,Count,ProbabilityPct
ES,RTH,50,0.60-0.80,Unknown,Unknown->Unresolved,1,100.00
ES,RTH,50,0.80-1.00,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,50,0.80-1.00,Directional,Directional->Degrading,1,100.00
ES,RTH,50,0.40-0.60,Degrading,Degrading->Unresolved,5,100.00
ES,RTH,50,0.20-0.40,Unresolved,Unresolved->Degrading,1,50.00
ES,RTH,50,0.00-0.20,Unresolved,Unresolved->Degrading,2,100.00
ES,RTH,50,0.20-0.40,Unresolved,Unresolved->Balance,1,50.00
ES,RTH,50,0.00-0.20,Balance,Balance->Degrading,1,100.00
ES,RTH,100,0.60-0.80,Unknown,Unknown->Unresolved,1,100.00
ES,RTH,100,0.80-1.00,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,100,0.80-1.00,Directional,Directional->Degrading,2,100.00
ES,RTH,100,0.40-0.60,Degrading,Degrading->Unresolved,5,100.00
ES,RTH,100,0.20-0.40,Unresolved,Unresolved->Degrading,1,33.33
ES,RTH,100,0.00-0.20,Unresolved,Unresolved->Degrading,2,66.67
ES,RTH,100,0.20-0.40,Unresolved,Unresolved->Balance,1,33.33
ES,RTH,100,0.00-0.20,Balance,Balance->Degrading,1,50.00
ES,RTH,100,0.20-0.40,Unresolved,Unresolved->Directional,1,33.33
ES,RTH,100,0.60-0.80,Degrading,Degrading->Unresolved,1,100.00
ES,RTH,100,0.40-0.60,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,100,0.40-0.60,Directional,Directional->Unresolved,1,100.00
ES,RTH,100,0.00-0.20,Unresolved,Unresolved->Balance,1,33.33
ES,RTH,100,0.00-0.20,Balance,Balance->Unresolved,1,50.00
ES,RTH,150,0.60-0.80,Unknown,Unknown->Unresolved,1,100.00
ES,RTH,150,0.80-1.00,Unresolved,Unresolved->Directional,1,100.00
ES,RTH,150,0.80-1.00,Directional,Directional->Degrading,2,66.67
ES,RTH,150,0.40-0.60,Degrading,Degrading->Unresolved,5,100.00
ES,RTH,150,0.20-0.40,Unresolved,Unresolved->Degrading,1,20.00
ES,RTH,150,0.00-0.20,Unresolved,Unresolved->Degrading,2,66.67
