Metric,Value
pipeline_source,apva_phase01_exploration.ipynb cells 35 and 40
transformation_status,recovered notebook formula extraction
input_files,"data/Validation/ES/xApvaV01StateLog_ES092024_CLEAN.csv,data/Validation/NQ/xApvaV01StateLog_NQ092024.csv"
input_file_count,2
output_path,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv
output_rows,6534
instruments,"ES,NQ"
horizons,5
session_filter,all
normalization_mode,"ATR14 from pressure-timeline rows, matching notebook cell 40"
dominant_pressure_mapping,MacroState quadruplet archetype resolution plus notebook v2 pressure formulas
raw_score_fields_used_for_pressure,none
compare_to,tables/apva_forward_signed_return_dataset_v1.csv
compare_exact_equivalence,False
